compat,pairwise,theta_alpha,theta_beta,theta_gamma
1,True,21,21,1
1,True,21,21,3
1,True,21,21,5
1,True,21,21,7
1,True,21,21,9
1,True,21,21,11
1,True,21,21,13
1,True,21,21,15
1,True,21,21,17
1,True,21,21,19
3,True,21,21,1
3,True,21,21,3
3,True,21,21,5
3,True,21,21,7
3,True,21,21,9
3,True,21,21,11
3,True,21,21,13
3,True,21,21,15
3,True,21,21,17
3,True,21,21,19
5,True,21,21,1
5,True,21,21,3
5,True,21,21,5
5,True,21,21,7
5,True,21,21,9
5,True,21,21,11
5,True,21,21,13
5,True,21,21,15
5,True,21,21,17
5,True,21,21,19
7,True,21,21,1
7,True,21,21,3
7,True,21,21,5
7,True,21,21,7
7,True,21,21,9
7,True,21,21,11
7,True,21,21,13
7,True,21,21,15
7,True,21,21,17
7,True,21,21,19
9,True,21,21,1
9,True,21,21,3
9,True,21,21,5
9,True,21,21,7
9,True,21,21,9
9,True,21,21,11
9,True,21,21,13
9,True,21,21,15
9,True,21,21,17
9,True,21,21,19
11,True,21,21,1
11,True,21,21,3
11,True,21,21,5
11,True,21,21,7
11,True,21,21,9
11,True,21,21,11
11,True,21,21,13
11,True,21,21,15
11,True,21,21,17
11,True,21,21,19
13,True,21,21,1
13,True,21,21,3
13,True,21,21,5
13,True,21,21,7
13,True,21,21,9
13,True,21,21,11
13,True,21,21,13
13,True,21,21,15
13,True,21,21,17
13,True,21,21,19
15,True,21,21,1
15,True,21,21,3
15,True,21,21,5
15,True,21,21,7
15,True,21,21,9
15,True,21,21,11
15,True,21,21,13
15,True,21,21,15
15,True,21,21,17
15,True,21,21,19
17,True,21,21,1
17,True,21,21,3
17,True,21,21,5
17,True,21,21,7
17,True,21,21,9
17,True,21,21,11
17,True,21,21,13
17,True,21,21,15
17,True,21,21,17
17,True,21,21,19
19,True,21,21,1
19,True,21,21,3
19,True,21,21,5
19,True,21,21,7
19,True,21,21,9
19,True,21,21,11
19,True,21,21,13
19,True,21,21,15
19,True,21,21,17
19,True,21,21,19
